Page,Titre,Prix,URL,Année,Boite,Carburant,Couleur du véhicule,Cylindrée,Etat du véhicule,Kilométrage,Marque,Modèle,Puissance fiscale,Type de carrosserie
2,AUDI A6 2.0L TDI 1 ère ✋main,68000DT,https://www.tayara.tn/item/68d826f307c7711d7c772830/Voitures/Ariana/Riadh_Andalous/_AUDI_A6_20L_TDI_1_re_main_/,2013,Automatique,Diesel,Gris,2.0L,Avec kilométrage,108000,Audi,A6,9,Berline
2,Une très belle voiture,N/A,https://www.tayara.tn/item/68d8269207c7711d7c7727e5/Voitures/Mahdia/Chebba/Une_trs_belle_voiture/,2000,Manuelle,Diesel,Blanc,1.9L,Avec kilométrage,153000,Ford,Galaxy,6,Autres
2,megane 2,20DT,https://www.tayara.tn/item/68d825b507c7711d7c772718/Voitures/Tunis/Agba/megane_2/,2004,Manuelle,Essence,Noir,1.4L,Avec kilométrage,200000,Renault,Megane CC,7,Berline
2,Mercedes C180,78000DT,https://www.tayara.tn/item/68d824b407c7711d7c772635/Voitures/Sfax/Sakiet_Ezzit/Mercedes_C180/,2018,Manuelle,Diesel,Noir,1.6L,RS,155000,Mercedes-Benz,Classe C Coupe,6,Berline
2,Peugeot 307 cc,21000DT,https://www.tayara.tn/item/68d82375516f1ddb82e4a289/Voitures/Nabeul/Bou_Argoub/Peugeot_307_cc/,2008,,Essence,Noir,,,226500,Peugeot,,,
2,megane 4,47500DT,https://www.tayara.tn/item/68d8233e07c7711d7c77253d/Voitures/Ben_Arous/Boumhel/megane_4_/,2019,Manuelle,Essence,Gris,1.2L,Avec kilométrage,133000,Renault,Megane,130,Berline
2,"A vendre MG5 confort BVM, 4 cylindres, 6CV",50000DT,https://www.tayara.tn/item/68d8219f516f1ddb82e4a178/Voitures/Ariana/Borj_Louzir/A_vendre_MG5_confort_BVM_4_cylindres_6CV/,2021,Manuelle,Essence,Bleu,1.5L,Avec kilométrage,90000,MG,5,6,Berline
2,Tucson à vendre,N/A,https://www.tayara.tn/item/68d81fc4516f1ddb82e4a053/Voitures/Nabeul/Menzel_Temime/Tucson_vendre/,2019,Automatique,Essence,Noir,1.6L,Avec kilométrage,28000,Hyundai,Tucson,8,Berline
2,Fiat 500,38500DT,https://www.tayara.tn/item/688a22ecd69a89221d409ddc/Voitures/Tunis/La_Marsa/Fiat_500/,2018,Automatique,Essence,Bleu,1.2L,Avec kilométrage,112000,Fiat,500,4,Compacte
2,Voiture ax,3700DT,https://www.tayara.tn/item/68d81d0d516f1ddb82e49e71/Voitures/Tunis/Tunis/Voiture_ax/,1997,Manuelle,Essence,Rouge,3.0L,Non dédouanné,00000,Citroen,AX,4,Autres
